txn_id,timestamp,user_id,merchant_id,amount,utr,mcc,status,merchant_name,mcc_m,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,complaint_id,user_id_cb,merchant_id_cb,transaction_timestamp,reported_timestamp,disputed_amount,reason_code,complaint_text,resolution_status,bank_response_timestamp,severity,channel,is_chargeback
TXN00004474,2026-01-17 19:39:58,USR15834,MCH3895,8892.43,UTR4987418462,5812.0,TXN_SUCCESS,Wable-Sarna,,HOTELS,PRIVATE_LIMITED,jaipur,Rajasthan,2024/06/20,,Closed,₹797.39,,,,,,,,,,,,,0
TXN00013857,2026-01-24 07:35:23,USR33189,MCH4645,1816.08,UTR8739611115,5912.0,TXN_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00012705,2026-01-23 18:56:04,USR48168,MCH4207,3530.72,UTR 0498515755,5411.0,Success,,,,,,,,,,,,,,,,,,,,,,,0
TXN00008884,,USR99474,MCH1206,7998.11,UTR6778164754,5411.0,Success,,,,,,,,,,,,,,,,,,,,,,,0
TXN00007528,2026-01-30 18:33:12,USR86253,MCH1683,13694.93,UTR 6390761420,5411.0,S,,,,,,,,,,,,,,,,,,,,,,,0
TXN00011321,2026-02-25 08:44:40,USR85411,MCH6621,15076.69,UTR9700714037,7011.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00003742,,USR92327,MCH8759,20437.02,UTR3393354693,5812.0,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00008492,2026-02-02 18:27:43,USR54536,MCH8074,3384.6,UTR3320495895,,TXN_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00016765,,USR93890,MCH5711,20091.0,UTR9203187638,,TXN_FAILED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00017694,2026-01-13 15:03:46,USR40732,MCH9490,9002.0,UTR 2443914333,5411.0,Fail,,,,,,,,,,,,,,,,,,,,,,,0
TXN00006528,,USR29622,MCH4964,20882.75,UTR4641185560,,TXN_FAILED,SARKAR-GODA,5311,DEPT_STORE,PRIVATE_LIMITED,Poona,Maharashtra,14/07/2025,,SUSPENDED,"Rs. 1,517",,,,,,,,,,,,,0
TXN00013401,,USR31880,MCH1798,24701.82,UTR 8784371040,5912.0,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00004494,,USR95466,MCH5376,19908.13,UTR0075153514,7011.0,Success,,,,,,,,,,,,,,,,,,,,,,,0
TXN00011094,,USR75900,MCH1058,8314.42,UTR9917244266,,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00017273,,USR76790,MCH6075,13085.0,UTR0709799346,4131.0,FAILED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00009281,,USR68024,MCH5104,10455.06,UTR1967979496,5812.0,Success,,,,,,,,,,,,,,,,,,,,,,,0
TXN00006056,,USR74396,MCH3197,12329.64,UTR9066186368,4131.0,S,,,,,,,,,,,,,,,,,,,,,,,0
TXN00010147,,USR91777,MCH4915,19600.29,UTR0387036525,4131.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00008021,2026-02-13 00:38:19,USR87162,MCH8216,12452.0,UTR6064791461,5912.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00015299,2026-03-12 03:39:52,USR81720,MCH9260,0.15641,UTR8680623402,5812.0,Success,,,,,,,,,,,,,,,,,,,,,,,0
TXN00012856,,USR76098,MCH6109,5205.0,UTR9338335376,5912.0,Fail,Sampath Ltd,4814,TELECOM,INDIVIDUAL,LDH,Punjab,15/01/2026 11:34 PM,6737069990,A,₹399.08,,,,,,,,,,,,,0
TXN00002230,,USR41686,MCH3071,7504.98,UTR9557966907,5812.0,TXN_SUCCESS,Misra-Padmanabhan,MCC-5812,RESTAURANTS,SOLE_PROPRIETOR,ludhiana,Punjab,2024-07-24 08:52:44,IJYT4830685989652,Live,,,,,,,,,,,,,,0
TXN00008304,,USR95674,MCH5401,5379.22,UTR8910180483,,S,"Sama, Ar0ra and Mem0n",,BOOKS_STATIONERY,private_limited,kolkata,West Bengal,23/07/2023,,ACTIVE,-571.93,CBK0000437,USR-31182,MCH7390,17-Mar-2026,03-19-2026,6321.44,UNAUTHORISED,Merchant service was not delivered after payment. NA,Pending Bank,,MEDIUM,CHATBOT,1
TXN00002751,,USR62352,MCH6961,9710.26,UTR2411349944,4131.0,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00016154,,USR24396,MCH4549,7444.86,UTR 9010745901,7011.0,S,,,,,,,,,,,,,,,,,,,,,,,0
TXN00002002,2026-02-02 21:46:04,USR30273,MCH3715,0.6182,UTR 4088897098,5411.0,S,BANSAL INC,5942,BOOKS,INDIVIDUAL,Lucknow,Uttar Pradesh,27-Nov-2024,,SUSPENDED,"2,025.81",,,,,,,,,,,,,0
TXN00017871,,USR84134,MCH7932,1129.96,UTR 2897803833,5411.0,Fail,SETHI LTD,4814.0,TELECOM,Private Limited,Bengaluru,Karnataka,20/04/2025 10:28 PM,AUYT1495828220876,Active,4410.18,CBK0000283,USR39576,MCH3354,1768647006,01-Feb-2026,,fraud,Payment made to unknown merchant as per cust statement.,Rejected,,HIGH,ivr,1
TXN00017871,,USR84134,MCH7932,1129.96,UTR 2897803833,5411.0,Fail,SETHI LTD,4814.0,TELECOM,Private Limited,Bengaluru,Karnataka,20/04/2025 10:28 PM,AUYT1495828220876,Active,4410.18,CBK0000391,USR51854,MCH-2822,28-Feb-2026,01/03/2026,5375.87,account hacked,user claims account was compromised before transaction.,IN_PROGRESS,15-Mar-2026,High,chatbot,1
TXN00009906,,USR91737,MCH9669,0.9793,UTR7243374821,7011.0,Success,,,,,,,,,,,,,,,,,,,,,,,0
TXN00012105,2026-02-11 21:01:18,USR62385,MCH7681,7551.46,UTR8310520572,4131.0,SUCCESS,Kala PLC,4814,TELECOM,private_limited,Hyd,Telangana,12/04/2023 02:59 PM,,Enabled,"INR 2,015.68",CBK0000597,usr_80223,MCH3594,02-07-2026,10/03/2026,"1,866.96",Duplicate Debit,User reports money deducted but merchant denies receiving payment.,IN_PROGRESS,25-Mar-2026,L,chatbot,1
TXN00003363,2026-03-30 03:38:47,USR87291,MCH4490,17312.05,UTR6688677473,5912.0,Success,"DOSHI, RAJ AND BUMB",5411,GROCERIES,PARTNERSHIP,LDH,Punjab,07-28-2025,XXXX2409,Live,748.40,,,,,,,,,,,,,0
TXN00004301,2026-03-15 01:52:40,USR98963,MCH8511,0.2024,UTR0403071756,4131.0,Pending,Bhattacharyya LLC,4131,TRAVEL,SOLE_PROPRIETOR,Kolkata,West Bengal,2025-09-13 17:14:01,5718101424,Live,1377.4,,,,,,,,,,,,,0
TXN00012813,2026-01-09 06:36:33,USR20191,MCH8936,7452.0,UTR9559448527,,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00009678,2026-03-06 07:59:54,USR64256,MCH3235,1728.09,012451219230,7011.0,TXN_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00017971,,USR62625,MCH9776,1198.21,UTR7890902701,5812.0,TXN_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00016152,,USR20475,MCH5563,13950.77,UTR8762321453,5411.0,Success,"Dubey, Wali and Yadav",,GARMENTS,sole_proprietor,kolkata,West Bengal,01-28-2024,5163059320,ACTIVE,"Rs. 2,198",,,,,,,,,,,,,0
TXN00011334,2026-03-29 13:01:14,USR32767,MCH8033,18247.02,UTR4892994283,5812.0,S,"  Kala, Mahal and Dash  ",5311,DEPARTMENT STORE,INDIVIDUAL,HYDERABAD,Telangana,02-12-2025,XXXX2251,Suspended,"INR 1,390.13",,,,,,,,,,,,,0
TXN00012493,2026-03-20 10:23:23,USR18021,MCH3684,8404.49,UTR0110455957,5812.0,TXN_SUCCESS,Chahal-Reddy,misc,GROCERY_STORE,partnership,Delhi,Delhi,,,A,629.48,,,,,,,,,,,,,0
TXN00002376,,USR38437,MCH4578,6891.78,UTR5079845432,5411.0,SUCCESS,"Pancha1, Ch0pra and Ma11",5942,BOOK STORE,Private Limited,chennai,Tamil Nadu,22/07/2023,IFCV0550743259811,Inactive,"₹2,039.12",,,,,,,,,,,,,0
TXN00016897,2026-02-01 02:05:20,USR67814,MCH5171,1728.83,UTR9272463214,4131.0,SUCCESS,"pandya, bawa and kibe",4131,TRANSPORTATION,Partnership,JPR,Rajasthan,2024/11/18,XXXX5385,Active,"₹1,895.53",,,,,,,,,,,,,0
TXN00003924,2026-02-09 22:29:17,USR42819,MCH7536,0.6655,UTR9885770586,4131.0,Declined,Kalla-Deo,5311,DEPT_STORE,Partnership,kolkata,West Bengal,08-29-2024,5654813293,Active,803.42,CBK0000399,usr85504,MCH7005,08-Jan-2026,,2479.92,not done by me,Complaint received after multiple failed attempts.,RESOLVED,16-Jan-2026,M,Email,1
TXN00012810,,USR16089,MCH3478,14920.61,UTR2659964448,5912.0,S,,,,,,,,,,,CBK0002735,USR90720,MCH4590,2026-02-22 05:46:00,02-24-2026,,login compromised,Customer says transaction was not authorized.,CLOSED,17-Mar-2026,P3,CHATBOT,1
TXN00014604,,USR90912,MCH3992,6800.75,UTR3515806131,4131.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00008536,2026-01-30 07:20:31,USR90160,MCH8495,8104.15,947259999156,5912.0,Success,,,,,,,,,,,,,,,,,,,,,,,0
TXN00014556,,USR81688,MCH2222,0.10183,UTR4323114461,5912.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00004965,2026-01-17 05:03:06,USR65014,MCH3468,12070.2,UTR0153287222,4131.0,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00012380,,USR11339,MCH9899,22522.69,UTR5306302554,4131.0,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00016736,2026-02-13 10:42:16,USR86671,MCH1318,22925.42,UTR8483573352,5411.0,SUCCESS,GUPTA LLC,4814,TELECOM,PRIVATE_LIMITED,Jaipur,Rajasthan,,0618978505,Active,,CBK0000470,usr_95074,MCH2822,02-08-2026,1770745906,"INR 15,548.64",Fraud Suspected,User claims account was compromised before transaction.,Rejected,03-12-2026,P3,CHATBOT,1
TXN00006289,2026-02-18 07:48:57,USR35502,MCH6411,24165.1,UTR8869496578,,S,,,,,,,,,,,,,,,,,,,,,,,0
TXN00013908,,USR13844,MCH6787,0.915,UTR5021961853,5411.0,S,,,,,,,,,,,,,,,,,,,,,,,0
TXN00005968,,USR20374,MCH9694,2195.0,UTR0092134543,5411.0,TXN_SUCCESS,,,,,,,,,,,CBK0001366,usr64733,MCH-3045,19-Mar-2026,21/03/2026,"INR 2,917.69",customer issue,customer says transaction was not authorized.,Pending Bank,1775277082,Critical,Call Center,1
TXN00010276,2026-01-14 14:05:26,USR50541,MCH2324,12011.12,UTR4772427896,5812.0,Pending,,,,,,,,,,,,,,,,,,,,,,,0
TXN00006474,,USR15164,MCH2258,24223.92,UTR6806916882,5411.0,Declined,Walia Group,5311,DEPT_STORE,SOLE_PROPRIETOR,Jalandhar,Punjab,2025/10/14,XXXX1416,ACTIVE,"INR 1,902.49",,,,,,,,,,,,,0
TXN00010498,2026-02-02 10:57:46,USR80912,MCH8382,14757.01,UTR4263242407,4131.0,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00014376,2026-03-07 04:27:25,USR70302,MCH5376,20627.72,UTR2595478610,5411.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00000489,,USR16400,MCH8181,23760.78,UTR6606633603,7011.0,Success,Mall-Chatterjee,4131,TRANSPORTATION,INDIVIDUAL,Amritsar,Punjab,,6803575158,Active,-1624.73,,,,,,,,,,,,,0
TXN00015714,2026-01-13 22:39:19,USR28439,MCH5333,21372.31,UTR6760441626,5812.0,TXN_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00014711,,USR90525,MCH9888,10222.36,UTR4063458835,5411.0,COMPLETED,"Contractor, Mohanty and Devi",5912,PHARMACY,SOLE-PROPRIETOR,Madras,Tamil Nadu,23/09/2025 11:00 PM,XXXX3253,ACTIVE,1367.96,CBK0002079,USR67922,MCH-2492,1769042157,01-25-2026,"₹1,709.84",complaint,Payment made to unknown merchant as per customer statement.,Pending Bank,,P4,chatbot,1
TXN00018474,2026-02-04 14:40:14,USR50590,MCH6271,10839.22,UTR 4596136519,5411.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00000224,2026-03-01 03:00:12,USR15259,MCH1799,9199.22,UTR2738330060,,TXN_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00005633,,USR69720,MCH9129,4672.89,UTR4546388237,7011.0,SUCCESS,"sinha, chauhan and sathe",5411,GROCERY,partnership,Calcutta,West Bengal,06-Jul-2025,VXNZ5598805748177,Enabled,INR 914.12,,,,,,,,,,,,,0
TXN00004328,2026-02-03 11:49:56,USR19395,MCH4330,0.24563,UTR7701194945,,Success,,,,,,,,,,,,,,,,,,,,,,,0
TXN00009685,2026-02-17 05:55:50,USR48293,MCH3778,13853.0,UTR0416062097,7011.0,S,Karnik Inc,MCC-5912,PHARMACIES,sole_proprietor,Jaipur,Rajasthan,,2560479060,I,"Rs. 1,211",,,,,,,,,,,,,0
TXN00002724,2026-03-14 04:01:56,USR74105,MCH2807,11455.31,UTR9017145438,5411.0,Success,,,,,,,,,,,,,,,,,,,,,,,0
TXN00012687,2026-01-21 02:49:51,USR17936,MCH4330,15994.0,UTR9292098304,,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00013883,,USR66862,MCH5569,16368.07,UTR2460914781,5912.0,Success,"Thaman, Kar and Dass",MCC-5999,MISC RETAIL,SOLE-PROPRIETOR,Mumbai,Maharashtra,2026/01/27,3302815921,I,3592.34,CBK0001422,USR-59251,MCH7833,13/01/2026,1768478331,"Rs. 3,588",Unauthorized Transaction,Payment made to unknown merchant as per customer statement.,OPEN,21/01/2026,M,chatbot,1
TXN00010284,2026-02-07 17:53:38,USR84713,MCH8033,20724.96,UTR9679708700,5912.0,Success,"  Kala, Mahal and Dash  ",5311,DEPARTMENT STORE,INDIVIDUAL,HYDERABAD,Telangana,02-12-2025,XXXX2251,Suspended,"INR 1,390.13",,,,,,,,,,,,,0
TXN00016950,,USR92059,MCH5284,8732.0,UTR9637214589,5912.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00001288,,USR62469,MCH4709,8772.17,UTR4380253542,5812.0,COMPLETED,DEWAN-JAIN,4131,TRAVEL,PARTNERSHIP,Lucknow,Uttar Pradesh,02/11/2025 05:55 AM,KNDG8941878782288,Enabled,108.08,,,,,,,,,,,,,0
TXN00018168,2026-02-26 18:15:26,USR18484,MCH7007,14231.14,UTR0728524782,5411.0,S,,,,,,,,,,,,,,,,,,,,,,,0
TXN00019686,2026-02-09 03:30:45,USR18812,MCH4407,12580.71,UTR6640964146,5812.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00003100,2026-03-16 03:54:54,USR57308,MCH7112,10845.23,UTR1936400434,5411.0,S,,,,,,,,,,,,,,,,,,,,,,,0
TXN00004458,2026-01-14 17:23:21,USR45841,MCH8118,3508.28,UTR4012895022,,TXN_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00005596,2026-02-09 17:41:28,USR14781,MCH9010,0.11951,UTR7767785322,,Success,,,,,,,,,,,,,,,,,,,,,,,0
TXN00013560,,USR52838,MCH2487,0.12874,UTR2505214559,7011.0,SUCCESS,"Virk, Ganguly and Saraf",5812,FOOD,PARTNERSHIP,bengaluru,Karnataka,2024/04/24,,I,₹362.02,,,,,,,,,,,,,0
TXN00005113,2026-01-20 22:08:15,USR59091,MCH5481,15023.8,UTR7885746162,7011.0,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00004382,2026-02-09 07:49:44,USR41359,MCH6188,1788.0,UTR3223727564,5411.0,Fail,"Batta, Choudhary and Bhalla",4131,TRANSPRT,PRIVATE-LIMITED,kolkata,West Bengal,09/01/2026,3109651401,Active,Rs. 163,,,,,,,,,,,,,0
TXN00000501,2026-03-21 07:59:26,USR89249,MCH6141,17457.06,UTR6418765672,4131.0,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00015867,,USR22510,MCH1710,19999.28,UTR4037860306,,TXN_SUCCESS,"talwar, goyal and dhillon",5812,FOOD,PARTNERSHIP,Dilli,Delhi,2025/11/26,,Enabled,₹542.31,,,,,,,,,,,,,0
TXN00009000,2026-03-08 18:50:10,USR50781,MCH4452,23299.28,UTR7035856587,,Declined,,,,,,,,,,,,,,,,,,,,,,,0
TXN00015273,2026-02-25 21:26:11,USR68103,MCH9191,9060.1,UTR3174009003,4131.0,TXN_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00014299,,USR65210,MCH2827,12535.81,UTR 8506543282,5411.0,Success,Bala-Bhatti,5999,MISCELLANEOUS,INDIVIDUAL,Bangalore,Karnataka,10/05/2024 08:16 PM,5191749246,Disabled,Rs. 381,,,,,,,,,,,,,0
TXN00003270,2026-01-28 02:07:55,USR15604,MCH4643,17218.9,UTR3172822886,5812.0,F,Barad and Sons,5942,BOOKS,INDIVIDUAL,ludhiana,Punjab,18/05/2025,5063903908,Blocked,"INR 3,490.79",,,,,,,,,,,,,0
TXN00001731,,USR32551,MCH1513,7663.28,UTR5999659974,5812.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00010729,2026-02-05 11:50:33,USR15670,MCH7869,0.4434,UTR9532881220,5812.0,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00016379,,USR33003,MCH4564,13236.1,UTR 0210719519,5411.0,TXN_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00019886,,USR63295,MCH8082,13247.83,606260960716,,COMPLETED,Contractor and Sons,7011,HOSPITALITY,SOLE-PROPRIETOR,Amritsar,Punjab,20-Feb-2025,XXXX4733,A,4480.58,,,,,,,,,,,,,0
TXN00013446,,USR65132,MCH2804,22208.81,UTR9695047215,5411.0,S,,,,,,,,,,,,,,,,,,,,,,,0
TXN00019919,2026-02-11 07:16:01,USR28532,MCH4744,21787.59,UTR5946059768,7011.0,TXN_SUCCESS,Tiwari-Bedi,5942,STATIONERY,SOLE_PROPRIETOR,Poona,Maharashtra,2024/07/13,0085843923,Closed,"Rs. 1,636",,,,,,,,,,,,,0
TXN00015848,,USR47788,MCH8306,19340.0,UTR5491341754,5411.0,Initiated,Magar-Gaba,4131,TRANSPORT,PRIVATE-LIMITED,Delhi,Delhi,2025/11/22,,Closed,840.15,,,,,,,,,,,,,0
TXN00012409,,USR21890,MCH6790,24277.1,UTR6709219519,5912.0,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00004601,,USR12389,MCH1015,4973.8,UTR 7964275007,5812.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00001022,,USR50138,MCH1795,7440.75,UTR4834151699,7011.0,S,,,,,,,,,,,,,,,,,,,,,,,0
TXN00003957,2026-02-06 05:16:23,USR20098,MCH1501,23162.33,UTR3598244387,5912.0,SUCCESS,Anand-Bhatt,04814,TELECOM,PARTNERSHIP,Hyderabad,Telangana,2025/11/07,XXXX2933,Active,"₹4,185.60",,,,,,,,,,,,,0
TXN00005885,,USR17338,MCH5199,12009.79,UTR6613055314,,TXN_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00003161,,USR25738,MCH5735,11103.55,004648597108,7011.0,F,,,,,,,,,,,,,,,,,,,,,,,0
TXN00003183,2026-03-19 08:34:23,USR83823,MCH6677,7752.07,UTR7232258080,4131.0,COMPLETED,"DESHMUKH, CHOUDHRY AND LAD",5912.0,MEDICAL_STORE,PRIVATE_LIMITED,Jalandhar,Punjab,2024/12/05,,Disabled,"₹2,949.00",,,,,,,,,,,,,0
TXN00005958,2026-03-28 22:37:35,USR27388,MCH3069,9224.44,UTR 1270153526,7011.0,Success,MAGAR INC,5699,FASHION,Individual,Mumbay,Maharashtra,10-18-2024,,Enabled,"5,346.85",,,,,,,,,,,,,0
TXN00018600,2026-01-03 01:57:59,USR52027,MCH9778,6989.39,UTR1379778285,5812.0,S,,,,,,,,,,,,,,,,,,,,,,,0
TXN00011473,,USR28894,MCH8529,24964.02,UTR8038923106,5411.0,TXN_SUCCESS,Pradhan PLC,5942,STATIONERY,SOLE-PROPRIETOR,Dilli,Delhi,13/07/2025 03:13 AM,,Active,476.91,,,,,,,,,,,,,0
TXN00009867,2026-03-09 00:58:30,USR30052,MCH1367,10701.31,UTR2346819295,4131.0,S,,,,,,,,,,,CBK0001661,usr15733,MCH8681,25/03/2026 04:28 AM,09-Apr-2026,"₹9,736.35",delivery issue,User reports money deducted but merchant denies receiving payment.,Rejected,2026-04-16 19:28:49,H,Branch,1
TXN00018096,,USR49422,MCH2628,13326.81,UTR 8557379697,,SUCCESS,Muni PLC,,DEPT_STORE,INDIVIDUAL,Pune,Maharashtra,13/07/2024,1524505804,ACTIVE,-1382.04,,,,,,,,,,,,,0
TXN00017701,2026-03-02 05:49:07,USR36315,MCH4921,19623.08,UTR6081235727,7011.0,TXN_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00006531,2026-01-21 01:59:54,USR58010,MCH1941,13869.97,UTR3163046139,5812.0,S,,,,,,,,,,,,,,,,,,,,,,,0
TXN00009761,,USR26470,MCH3240,23132.36,UTR4257556463,,TXN_FAILED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00003245,,USR62662,MCH6418,17556.63,UTR2892934019,,Success,  Doctor Ltd  ,7011,HOTELS,SOLE_PROPRIETOR,Jalandhar,Punjab,,,Active,1362.45,,,,,,,,,,,,,0
TXN00006562,2026-03-22 13:46:10,USR64443,MCH7071,0.8094,UTR1599752498,,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00002254,,USR94428,MCH8149,20733.88,UTR8066942893,5411.0,TXN_SUCCESS,"Chandran, Mander and Parmar",5812,FOOD_SERVICES,PARTNERSHIP,kolkata,West Bengal,,,Active,"Rs. 1,378",,,,,,,,,,,,,0
TXN00016290,2026-03-18 22:25:36,USR21325,MCH5558,442.18,UTR7671258903,4131.0,TXN_SUCCESS,"Rao, Sidhu and Barad",7011,HOSPITALITY,partnership,ASR,Punjab,14/09/2024,,Live,Rs. 626,,,,,,,,,,,,,0
TXN00016796,2026-02-12 22:02:25,USR80985,MCH6805,3687.47,UTR0030159658,5912.0,Fail,,,,,,,,,,,,,,,,,,,,,,,0
TXN00010765,2026-01-06 06:54:03,USR94871,MCH6302,19884.0,UTR2028825714,5812.0,Success,,,,,,,,,,,,,,,,,,,,,,,0
